StoreId,uuid,createdAt,updatedAt,text,isAnonymous,reviewerId,replies,likeCount,isLiked,overall,restaurant_food,rider,lang
p3fw,01a5f369-15a3-4668-a5a8-c9383d652398,2023-07-18T01:11:31Z,2023-07-18T01:11:31Z,สั่งคะน้าปลากระป๋องแต่ได้หมูทอดกระเทียม,0,thj5t02u,[],0,0,1,1,5.0,TH
h9yu,01e4066e-202c-4678-a0c2-dcbab56c4005,2023-10-09T12:16:02Z,2023-10-09T12:16:02Z,สั่งก๋วยเตี๋ยวเนื้อ แต่เปลี่ยนจากลูกชิ้นเนื้อเป็นหมู สรุป ได้ก๋วยเตี๋ยวลูกชิ้น ไม่มีเนื้อไม่มีหมู ร้านงงอะไรหรอคะ ,0,thzff3gn,[],0,0,2,2,,TH
f9je,022ea9df-d3fc-4321-8aad-6a95a3a213c5,2024-03-17T04:24:11Z,2024-03-17T04:24:11Z,ไก่ย่าง แข็งมาก เหนียวมาก เหมือนเอาไก่เก่ามาขายเลยค่ะ เสียดายไม่ได้ถ่ายรูปไว้ แต่มันแห้งๆ แข็งๆ เหนียวๆ เสียใจมากกับมื้อกลางวัน ส้มตำอร่อยดีค่ะ รสชาติถูกปาก,0,thtfjd9p,[],0,0,3,3,5.0,TH
shdb,03018c32-297f-4f7d-aa8f-6e7fe7fad3ed,2023-09-22T05:39:45Z,2023-09-22T05:39:45Z,always good,0,thsep3de,[],0,0,5,5,5.0,EN
r9jc,03caacf2-5de0-4849-a6ec-fb2e77b460d0,2023-09-14T12:01:03Z,2023-09-14T12:01:03Z,ข้าวหมูแดงหมูกรอบไม่ตรงปกเลยได้หมูกรอบ3ชิ้นหมูแดง5ชิ้น,0,thwqf3gd,[],0,0,1,1,4.0,TH
w0dn,03d34934-066f-42b9-90fb-80bec55886f5,2023-04-01T09:35:48Z,2023-04-01T09:35:48Z,อร่อย ได้เยอะค่ะ ที่สำคัญได้ส่วนลด ยิ่งถูกไปอีก คุ้มค่า คุ้มราคามากค่ะ,0,thyxt4yd,[],0,0,5,5,5.0,TH
w3rk,04b99b0b-c516-4225-9860-cffbdc5cb9d8,2024-02-16T12:25:33Z,2024-02-16T12:25:33Z,ตำมาม่า รูปใช้เพื่อโฆษณาจริงๆ ในรูปมีหมูยอ แต่ของจริงคือตำใส่มาม่ากับเส้นมะละกอถือว่าไม่คุ้มค่ากับ order นี้,0,th62vuel,[],0,0,2,2,,TH
xctw,04da4dc4-9458-4168-a6bf-8cc5d9aece54,2024-01-04T09:56:13Z,2024-01-04T09:56:13Z,สั่งเส้นหมี่ ได้เส้นใหญ่,0,thoxd8pl,[],0,0,2,2,,TH
yky4,05627357-d175-465e-a3c1-d53c57dc8a40,2023-06-22T06:13:20Z,2023-06-22T06:13:20Z,ดีค่ะ,0,tha159ne,[],0,0,5,5,5.0,TH
fa5o,05c5ecfa-db87-4b4b-add4-a096ee81cc1d,2023-11-01T00:48:19Z,2023-11-01T00:48:19Z,อร่อยค่ะ ติดเค็มนิดหน่อย แต่ภาพรวมคือดีย์,0,th024qbt,[],0,0,4,4,,TH
qj3v,07765664-5386-4538-b1a5-fd3fb8105a91,2023-04-16T11:33:53Z,2023-04-16T11:33:53Z,อร่อยมาก อยากให้เมนู ข้าวหมูกระเทียม กลับมาอีกครั้ง,0,thy7pdd5,[],0,0,5,5,5.0,TH
bmd4,085b685f-6579-42c2-bee9-37e046ff9d48,2023-08-17T11:14:01Z,2023-08-17T11:14:01Z,the soup is a little bit sour but everything else was delicious ,0,thowi0kk,[],0,0,4,4,5.0,EN
p8nh,08adf578-d2c6-4ceb-a3c5-916c538bf065,2023-09-23T05:34:29Z,2023-09-23T05:34:29Z,สุกี้รวมรสชาติวันนี้แปลกมากๆค่ะ ไม่ได้แปลกในทางที่ดี มีกลิ่นด้วย,0,l1gpx0gs,[],0,0,1,1,5.0,TH
i2un,08b6d429-95c4-4876-8e1d-c040e3468687,2023-06-13T07:04:13Z,2023-06-13T07:04:13Z,It's delicious Burger ,0,thz5fwhp,[],0,0,5,5,5.0,EN
i4xa,09cac5a3-f977-40d6-ae13-2e9b17274455,2023-12-31T05:20:24Z,2023-12-31T05:20:24Z,ช้อนกับมะนาวก็ไม่ใส่มาให้,0,thvqqaoi,[],0,0,1,1,,TH
x3tk,0a5b098a-b6e9-4c4a-9e3e-b4bd0a61f434,2023-10-20T07:18:59Z,2023-10-20T07:18:59Z,ช้า,0,th85a14g,[],0,0,1,1,,TH
k1kf,0b12c420-0afb-42bf-a828-e755b7fe64f1,2024-01-22T12:47:48Z,2024-01-22T12:47:48Z,ก๋วยเตี๋ยวหมู น้ำซุปไม่ค่อยเข้มข้นเท่าไหร่ ต้นหอมช้ำจะออกเปรี้ยวๆเหม็นเขียวบางส่วน ส่วนกระเทียมเจียวไม่หอม ,0,tht45z83,[],0,0,3,3,,TH
fbmg,0ca44321-67d2-4564-b7b3-1c25fe14e5b5,2024-03-17T04:37:59Z,2024-03-17T04:37:59Z,น้ำซุปแอบเค็มไปนิดนึง หรืออาจเป็นเพราะผมไม่ได้ชอบกินเค็ม สำหรับคนอื่นอาจจะพอดีแล้วก็ได้ ,0,thjiq0jx,[],0,0,5,5,5.0,TH
fa5o,0cd89540-e980-4cca-8f29-856a615f162a,2023-11-03T05:58:51Z,2023-11-03T05:58:51Z,อร่อยมากค่ะ,0,thl7y9d6,[],0,0,5,5,,TH
p1cm,0dc88d24-a65c-4887-8369-91afa64fa6de,2023-05-02T08:00:30Z,2023-05-02T08:00:30Z,ได้รับสินค้าไม่ครบ สั่งก๋วยจั๊บกับเกาเหลาเนื้อพิเศษไป ได้มาแค่ก๋วยจั๊บ สั่งอาหารให้ผู้สูงอายุที่บ้าน เค้าก็ไม่รู้ไม่กล้าท้วงกับคนส่ง ,0,tho8zhf6,[],0,0,1,1,1.0,TH
wq97,0e906d44-5cf7-4315-a8ba-d3d2d31b7bc8,2023-11-20T04:41:01Z,2023-11-20T04:41:01Z,"ลืมน้ำจิ้มหอยทอดครับ
ไม่ใส่มาให้เลยครับ
กินแบบจืดๆ",0,thdbnxtk,[],0,0,5,5,,TH
yky4,0ef999d8-ac02-41c7-838e-b01045f224b5,2023-10-01T02:37:41Z,2023-10-01T02:37:41Z,สั่ง3ชั้นทำไมได้กระเพรา,0,th3rj04e,[],0,0,1,1,,TH
p8nh,0f1d6ee5-1c32-4ee8-92b1-cbdeba135b79,2023-08-17T06:59:31Z,2023-08-17T06:59:31Z,อาหารอร่อย คุ้มค่าที่ต้องรอค่ะ,0,thqk8qqe,[],0,0,5,5,5.0,TH
pxvm,0f1f51d3-9f83-4c9c-a096-464796824b52,2023-06-01T13:52:23Z,2023-06-01T13:52:23Z,รสชาติอร่อยดีค่ะ ราคารับได้ คุณภาพของโอเค ,0,thxw2ihs,[],0,0,5,5,5.0,TH
oovp,0ffac7ea-2357-44b1-bde8-af45f0d1b955,2023-09-03T04:14:03Z,2023-09-03T04:14:03Z,ไรท์เดอร์ไม่สุภาพ,0,thr9dwj7,[],0,0,1,1,1.0,TH
xjgc,10100cce-a7f7-43ca-9efd-9d7220a6fea8,2024-03-15T05:23:08Z,2024-03-15T05:23:08Z,ดีๆอร่อย,0,thzosdmr,[],0,0,5,5,5.0,TH
r9jc,10b313cf-219c-48bb-ae8f-51ffca88cf9b,2023-09-01T14:30:23Z,2023-09-01T14:30:23Z,อาหารอร่อยมากค่ะ,0,thc4gyez,[],0,0,5,5,5.0,TH
qnbb,10bf76b8-e3d2-43d3-b8bf-15bb47e081e5,2023-04-03T09:26:48Z,2023-04-03T09:26:48Z,น้ำจิ่มเสีย กดสั่งปลาหมึก มีแต่หมู่ แย่มาก,0,th7fxrqz,[],0,0,1,1,4.0,TH
upu3,1165afa3-f207-4dd8-8d4c-db1e623e8423,2023-07-26T09:54:36Z,2023-07-26T09:54:36Z,เผ็ดนำ,0,th3xgwld,[],0,0,3,3,3.0,TH
w0dn,116835fb-97b3-4ae5-967b-a3631fc19efb,2023-10-08T06:10:59Z,2023-10-08T06:10:59Z,อร่อย,0,thr1236k,[],0,0,5,5,,TH
r9jc,124a4175-b3ab-4ff7-ade0-f63e81b5cbb7,2023-10-14T14:30:15Z,2023-10-14T14:30:15Z,สั่งแล้วไม่ได้รับแต่ในระบบแจ้งว่าส่งเรียบร้อยตกลงกินทิพย์ร้านปิดแล้วทำไมในระบบยังไม่ปิดะแพนด้าขับผ่านมาแล้วไปปิดจ๊อบเองหรอคะ ลูกค้างง,0,thdhe5fu,[],0,0,1,1,,TH
k1kf,12abd5ce-ba55-4529-94c2-f0fbe1eae67a,2023-08-13T08:45:31Z,2023-08-13T08:45:31Z,ของอร่อยต้องรอนานหน่อยค่ะ😊😊,0,thli2g7c,[],0,0,5,5,,TH
uw0f,1469189c-0c65-4cf6-a9cf-9537646fb7e4,2023-11-05T01:19:31Z,2023-11-05T01:19:31Z,awesome ,0,th2s7vo8,[],0,0,5,5,,EN
upu3,1652fffb-c0d7-469e-aaa5-b7c9652e49e9,2023-07-05T07:27:37Z,2023-07-05T07:27:37Z,เคยซื้อที่ร้าน4-5ครั้ง ปริมาณโอเค รสชาติพอใช้บางวันก็จืดไปนิด พอมาสั่งผ่าน app ร้านลืมข้าวเหนียวแต่ได้เงินคืนแล้ว อยากให้ร้านทวน order ก่อนส่งจะได้ไม่เกิดความผิดพลาดอีก,0,thbcg844,[],0,0,5,5,5.0,TH
urns,1765324e-7826-408d-8fc7-53683aee5074,2023-11-16T11:15:29Z,2023-11-16T11:15:29Z,อร่อยให้เยอะด้วยค่ะ,0,thvmtci6,[],0,0,5,5,,TH
a2bu,1850a5dd-d955-4c53-82a4-caca685c89ad,2023-04-24T08:16:17Z,2023-04-24T08:16:17Z,สั่งหวานน้อยแต่ได้หวาน,0,thwjh0lx,[],0,0,4,4,5.0,TH
yrno,1923051c-2ff9-46db-8547-fec27b07dee3,2024-01-11T12:35:50Z,2024-01-11T12:35:50Z,ปริมาณโอเค แต่ส่วนตัวว่าแป้งแข็งอ่ะโดยเฉพาะคาโคว คาร์โบไฮเดรตเน้นๆ,0,thbwyd5p,[],0,0,3,3,,TH
p8nh,198ccd90-9fc5-4c22-9ed7-03186e7d5e33,2024-02-12T03:12:50Z,2024-02-12T03:12:50Z,1 ชั่วโมงยังไม่ได้ 😭 รอนานมาก,0,th5l1cr5,[],0,0,1,1,,TH
y0kn,199d111b-bf8d-456e-980f-a4a9b901190c,2023-12-07T04:12:08Z,2023-12-07T04:12:08Z,"Hot,, tasty, fast preparation and quick delivery 😋 😁😎",0,thrfamd7,[],0,0,5,5,,EN
fwho,1abb7257-1ef0-4051-b791-7ff55caf5032,2023-10-16T12:48:05Z,2023-10-16T12:48:05Z,อาหารผิด,0,thh8u8xv,[],0,0,1,1,,TH
l7vb,1ad0b71b-64a8-44ac-a079-f6d943d372d8,2023-10-24T11:46:51Z,2023-10-24T11:46:51Z,สั่งขาหมูเป็นกับข้าว น่าจะเเยกผักไห้น่ะค่ะ สั่งเป็นกับข้าว ไม่น่าเอามารวมกันเลยค่ะ,0,thb46w9a,[],0,0,1,1,,TH
p8nh,1b7b55e9-3acc-4c20-9754-f771da09fee1,2023-10-30T04:02:34Z,2023-10-30T04:02:34Z,ส่งช้ามากกกด,0,thjbour5,[],0,0,2,2,,TH
shdb,1bced9d5-12dc-47bc-9523-d67d8ffc18dd,2023-06-24T06:09:38Z,2023-06-24T06:09:38Z,ช้ามากกก ถ้ามีเวลาพัก 1 ชม คือไม่ได้กินข้าวเลยจ้า สั่งมื้อเช้าได้กินมื้อเที่ยง สั่งมื้อเที่ยงได้กินมื้อเย็น ไม่รู้รสชาติจริงๆเป็นยังไง เพราะกลับไปอาหารก็เย็นหมดแล้ว ,0,thfmt1mk,[],2,0,1,1,5.0,TH
