StoreId,uuid,createdAt,updatedAt,text,isAnonymous,reviewerId,replies,likeCount,isLiked,overall,restaurant_food,rider,lang
s10v,0000ccdd-a412-429b-a046-45a703ca3c44,2023-11-19T08:27:46Z,2023-11-19T08:27:46Z,อร่อยมากชาเขียววิปครีมดีมากจะเอาเป็นร้านประจำเลยค่ะ,0,thyog3pr,[],0,0,5,5,,TH
f0so,0111308e-3efa-47ce-a170-753caa8187ff,2024-01-25T09:23:21Z,2024-01-25T09:23:21Z,สุดยอดทุกอย่างครับ,0,thucb6zl,[],0,0,5,5,5.0,TH
d6na,01f000c3-86a4-4b86-b0ba-45e66a3803ad,2023-04-10T10:39:56Z,2023-04-10T10:39:56Z,ชอบเมนูนี้มากๆค่ะ อร่อย,0,thnezdhs,[],0,0,5,5,5.0,TH
f2tj,02043692-e633-4d97-b1f4-f1e436a3751b,2023-04-13T03:33:50Z,2023-04-13T03:33:50Z,สั่งไก่ได้หมูมาแทน ไม่กินหมูค่ะ เหมือนสั่งไห้เสียเงินฟรี,0,thowoi6i,[],0,0,1,1,,TH
vwd8,02135e9c-5ca4-4dbe-99aa-0a18dcee8bc3,2023-09-09T05:17:43Z,2023-09-09T05:17:43Z,อร่อยดีค่ะ,0,thnezdhs,"[{'id': '02135e9c-5ca4-4dbe-99aa-0a18dcee8bc3', 'text': 'ขอบคุณค่ะ🙏😊', 'createdAt': '2023-12-21T11:53:47Z', 'updatedAt': '2023-12-21T11:53:47Z', 'commentPrettyDate': {'translationKey': 'NEXTGEN_REVIEWS_X_MONTHS_AGO', 'timeDuration': '3'}}]",0,0,5,5,5.0,TH
yhjt,025e78cb-a63b-433b-8d7c-40a10bd58fa8,2023-09-12T12:17:56Z,2023-09-12T12:17:56Z,อร่อยแซ่บสมชื่อค่ะ ,0,thv4s45m,[],0,0,5,5,5.0,TH
hdhn,026df483-9598-43e8-853d-4ccbfb0e90bd,2023-06-28T04:52:55Z,2023-06-28T04:52:55Z,ชอบ,0,thnezdhs,[],0,0,5,5,5.0,TH
ecq2,02fae03a-5c8c-4848-bdc3-0419f5bc4d67,2024-01-05T04:27:20Z,2024-01-05T04:27:20Z,อร่อยค่ะ เฟรนฟรายชิ้นใหญ่ดี,0,thm0yb9s,[],0,0,5,5,,TH
e2lk,02fca07c-b5f5-414b-bb09-8564fc36417c,2024-03-20T06:32:30Z,2024-03-20T06:32:30Z,ถูกใจมากค่ะ สั่งอะไรไปได้ครบทุกอย่างเลย อร่อยทุกเมณูค่ะ,0,th5a8r8g,[],0,0,5,5,5.0,TH
mtow,03119b89-bbbe-4b27-b5c1-dbaf530af6ec,2023-05-31T02:59:33Z,2023-05-31T02:59:33Z,แย่,0,thxoqqry,[],0,0,1,1,,TH
d8yh,0321dcc2-855a-4d04-94e9-078d5847732c,2023-06-18T09:29:43Z,2023-06-18T09:29:43Z,ได้ของในชุดไม่ครบค่ะ ขาดเฟรนฟราย ในภาพเซ๋ตมีเฟรนฟรายแต่พอได้มาไม่เห็นมีเลยค่ะ แย่มาก,0,th7asknh,[],0,0,1,1,4.0,TH
exar,035078fd-e757-419a-be63-5afa8d60f84d,2023-08-21T11:26:42Z,2023-08-21T11:26:42Z,อาหารอร่อยสั่งครั้งแรกติดใจ,0,thrv9y5p,[],0,0,5,5,5.0,TH
l18z,03934b6f-5fa6-4c26-be55-9724d320e97a,2023-10-05T03:33:07Z,2023-10-05T03:33:07Z,"เข้มข้นสุดๆ...ถึงจะแพงแต่ไม่เสียดายตังเลย
คุ้มสุดๆ",0,thf9ey6m,[],0,0,5,5,,TH
pnt8,040a55ed-d194-4495-9ae2-f828b1396a3e,2023-07-05T07:46:10Z,2023-07-05T07:46:10Z,อร่อย ให้เยอะ ตรงตามสั่ง,0,th5z7sg9,[],0,0,5,5,5.0,TH
e1sw,05081c99-6f0b-4987-bed9-e593ff0ae636,2024-02-13T10:28:38Z,2024-02-13T10:28:38Z,อร่อยมากคับ คุ้มมากเลย,0,thaz5zyf,[],0,0,5,5,5.0,TH
qwxt,0591a10b-8cef-4a94-878f-df6640a1ff42,2024-03-13T15:42:16Z,2024-03-13T15:42:16Z,สั่งตำปูม้าปลาร้าไป2ถุง ไม่มีปูม้ามาสักถุงเลยคะแต่รสชาติดี แต่แอบเสียใจนิดหน่อย😅,0,thc3bnba,[],0,0,1,1,,TH
ow2i,05b3db97-287b-443e-9ba4-82f86604f64a,2023-05-09T07:54:45Z,2023-05-09T07:54:45Z,"สั่งผัดผักบุ้งหมูกรอบแต่ไม่ใส่หมูให้
แล้วมาคิดราคาเต็มด้วย แย่มาก",0,thb6w4vo,[],0,0,1,1,,TH
iirc,06903a92-8a07-44d9-bd69-16040b3ad318,2023-04-06T17:04:26Z,2023-04-06T17:04:26Z,ของไม่ครบของใกล้จะหมดทำไมไม่กดยกเลิกออเดอร์ลูกค้าล่ะคะ สั่งยำผลไม้สด กับ กะปิแห้ง2กระปุก  กระปิแห้งอีกกระปุกจะน้อยไปไหนคือไม่ถึงครึ่งกระปุกด้วยซ้ำ ไม่น่าทำแบบนี้อะคะ ของไม่พอให้แล้วก็น่าจะยกเลิกออเดอร,0,thzjb8vi,[],0,0,3,3,2.0,TH
d2hw,06cd4280-c3e7-4240-9086-d4b2f2aa4e92,2023-05-25T04:55:36Z,2023-05-25T04:55:36Z,อร่อย,0,thfdt90v,[],0,0,5,5,,TH
