"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City"
"cm4s","Izakaya Mori House","Japanese","4.9","(6)","Bangkok"
"n8cn","Nam Mul","Thai","4.1","(100+)","Bangkok"
"w4tl","Bamhee Ped Yang Khlong Tan","Thai","4.7","(3000+)","Bangkok"
"h2ub","Kin Jung Lookchin Pla Raberd","Thai","5","(20)","Bangkok"
"a27z","Khao Tom Kra Dook Moo","Thai","4.8","(100+)","Bangkok"
"qlii","Guay Tiew Song Khreung Soot Yaowarat (On Nut-Udomsuk)","Thai","4.3","(67)","Bangkok"
"rnzj","Gyu Der","Thai","5","(5)","Bangkok"
"y6bq","L'amour Bubble Tea (On Nut 1/1)","Beverages","4.5","(100+)","Bangkok"
"aqtw","Kao Moo Tod Sood Yaowarat (Sukhumvit 71)","Thai","4.5","(24)","Bangkok"
"uaj4","Rad Nha Rong Lek Khiang and Arhan Tam Sang (Sukumvit 71)","Thai","4.6","(100+)","Bangkok"
"a153","Kuaitiao Song Khrueang Sut Yaowarat","Thai","4.7","(14)","Bangkok"
"kzb9","Kao Moo Tod Soot Yaowarat (Sukhumvit)","Thai","4.5","(500+)","Bangkok"
"azw3","Khao Tom Pla Kao Lao Lued Moo Khun Nat","Thai","4.1","(49)","Bangkok"
"chrp","Joke Mhoo Mor Din","Thai","4.4","(100+)","Bangkok"
"p2ni","Breads and curries","Indian","4.3","(1000+)","Bangkok"
"yu94","Khao Man Kai Phuket","Thai","3.8","(6)","Bangkok"
"tn21","Yum Khun Green Ros Zaap Zeed (Phra Khanong Nuea)","Thai","4.6","(6)","Bangkok"
"bdni","PIZZA FRAGRANTE","Pizza","4.7","(39)","Bangkok"
"y39n","Shabu Na","Japanese","5","(5)","Bangkok"
"t6gt","Express Mexican Food","Mexican","4.7","(100+)","Bangkok"
"z8u1","Larb Ped Pla Phao by Hia Not","Thai","4.6","(14)","Bangkok"
"yyje","Basket Case","International","4.4","(2)","Bangkok"
"s0xz","Larb Lab Lab (Pridi 43)","Thai","4.7","(500+)","Bangkok"
"kr2h","Pizza Pronto (Onnut)","Italian","4.1","(100+)","Bangkok"
"bgat","Guay Tiew Ruea Kak Moo Ayutthaya (Sukhumvit)","Thai","4.6","(500+)","Bangkok"
"zh4m","Brew Cafe","Indian","5","(1)","Bangkok"
"sler","Shemroon Restaurant","International","4.6","(98)","Bangkok"
"q8gc","Pa Nom Tam Sung","Thai","4.7","(500+)","Bangkok"
"tkum","Lucky Suki (People Park Onnut)","Asian","4.8","(70)","Bangkok"
"u0ih","Zapver Onnut Isaan Food","Thai","4.8","(30)","Bangkok"
"o445","Ichikara","Japanese","4.8","(100+)","Bangkok"
"n9qp","E San Nua Krua Steak","Thai","4.3","(100+)","Bangkok"
"bomo","Mhala Barber","Asian","4.6","(57)","Bangkok"
"trvj","Japanese Kicchen Izakaya Himawari 2 (Onnut)","Japanese","4.4","(100+)","Bangkok"
"mx85","Lung Yod Thod Mhoo","Thai","4.5","(100+)","Bangkok"
"ml8i","Pasta Japan (Bangkok)","Japanese","4.3","(100+)","Bangkok"
"u4rc","Nai leng duck noodle","Thai","4.5","(500+)","Bangkok"
"nw8y","Cham Nuea and Cham Mu","Japanese","4.7","(84)","Bangkok"
"dhmu","Esan Brek Taek","Thai","4.2","(53)","Bangkok"
"geu1","Era Izaankaya (Thonglo)","Thai","4.7","(6)","Bangkok"
"uw2s","Guaytiewmara Kaitumrueng","Thai","4.7","(100+)","Bangkok"
"t0vh","New Sushi Bar","Japanese","4.8","(1000+)","Bangkok"
"em1j","Guay Tiew Ruea Por Pra Teep (Lotus's On Nut Market)","Thai","4.1","(100+)","Bangkok"
"f1hp","Le Cafe Phenix","Beverages","4.9","(100+)","Bangkok"
"xkaq","Steamed Fish Pattanakarn27@quickmealMali","Fast Food","5","(20)","Bangkok"
"t0eq","Bourbon Street","American","4.7","(5000+)","Bangkok"
"vm9b","Kaow Tom Jad Tem","Thai","4.3","(1000+)","Bangkok"
"u3xi","Pizza Amore Nostro","Italian","4.6","(100+)","Bangkok"
"t6dl","Lord of Salads","Western","4.4","(1000+)","Bangkok"
"aelt","Vegano Bangkok","International","4.4","(100+)","Bangkok"
"t0np","Panini mafia","Italian","4.7","(2000+)","Bangkok"
"g0oe","Donz - No.1 Japanese Bento Restaurant","Japanese","4.5","(500+)","Bangkok"
"t2yk","Angelo's Pasta","Italian","4.6","(1000+)","Bangkok"
"t2u1","Lek Moo Ping Nomsod (Phatthanakan 25)","Thai","4.9","(55)","Bangkok"
"lway","Pizza Hut (Ekkamai)","Italian","4.6","(1000+)","Bangkok"
"gubm","Noodle Hunter (On Nut)","Thai","3.9","(100+)","Bangkok"
"cgdd","Kaphrao Iron Pan (On Nut)","Thai","4.5","(500+)","Bangkok"
"gzry","Som Tum Indy (Boss Mansion)","Thai","1.5","(3)","Bangkok"
"jf6t","Here Duan (Ekkamai)","Thai","4.9","(20)","Bangkok"
"krdc","Jokes Skool (Suan Luang)","Thai","5","(3)","Bangkok"
"r5cl","Khaomangai (Rama4)","Thai","4","(100+)","Bangkok"
"tdtp","Mom Do Me Done Cake and Snack","International","4.9","(81)","Bangkok"
"dlem","Croffle Crof Jai By Lukky Nny","Asian","4.5","(82)","Bangkok"
"cdkp","Moo The Great (On Nut)","Thai","4.1","(100+)","Bangkok"
"g7of","Fin Burger (Halal)","Western","4.8","(100+)","Bangkok"
"t8hk","Hokkaido Ramen Yushi","Japanese","4.6","(2000+)","Bangkok"
"tfsp","A Grill's Cup (Suan Luang)","Thai","3.7","(2)","Bangkok"
"h877","Kieang Wat Yang Khun Pa Radna","Thai","4.8","(500+)","Bangkok"
"o03j","Guay Tiew Kai Gluay Nam Thai","Thai","4.8","(500+)","Bangkok"
"hqe7","Sab Sud Jai (Thonglor)","Thai","4.7","(100+)","Bangkok"
"sgq8","Moo Ping Bangkok","Thai","4.4","(100+)","Bangkok"
"l50e","Okay Rod Zap","Thai","2.9","(20)","Bangkok"
"fgjf","Lecrin55 Spagetti Thonglor","Italian","2.5","(34)","Bangkok"
"h1ur","Rattiya Jaew Hon","Thai","2.9","(26)","Bangkok"
"m868","Jae Auan Guay Jub Yuan Khao Tom Pork Bone","Thai","4.7","(70)","Bangkok"
"egi7","Ebisu Shoten (Thonglo)","Japanese","4.5","(100+)","Bangkok"
"zmax","Burger Box (Thong Lo 13)","American","4.3","(98)","Bangkok"
"p5uw","Ton Thong Restaurant","Thai","4.4","(500+)","Bangkok"
"ge13","Osaka Yakiniku Bakaichidai","Japanese","4.3","(100+)","Bangkok"
"glec","55 Pochana","Thai","4.6","(71)","Bangkok"
"dkti","Pat Ga Prao Zap Taek Sik","Thai","4.7","(3)","Bangkok"
"i4lg","Larb Ped Por 4 (Rama 9)","Thai","4.5","(100+)","Bangkok"
"bdqn","Krua Leena Jimchum (Rama 9)","Thai","1","(1)","Bangkok"
"b7b2","Krua Senkaengron Guay Tiew Tom Yum and Arhan Tam Sang (Onnut 34)","Thai","4.4","(100+)","Bangkok"
"gkkx","Nico's Grill and Craft House","International","4.6","(100+)","Bangkok"
"aeq8","Hostel 24 And Restaurant","Asian","4.4","(100+)","Bangkok"
"dj1z","The Chopsticks","Asian","4.5","(50)","Bangkok"
"r9rx","Pla Phao Mao Seafood","Thai","2.9","(30)","Bangkok"
"ymoz","Khao Man Kai Nai Khiao","Thai","4.6","(51)","Bangkok"
"j7zz","Lookchin Tip by Patsa Dessert","Thai","4.7","(500+)","Bangkok"
"qc4j","Indiagate Restaurant (Sukhumvit 47)","Indian","5","(13)","Bangkok"
"sg5g","Kome Kome","Japanese","4.8","(100+)","Bangkok"
"ijq3","Pizza Cat","Pizza","3.8","(9)","Bangkok"
"t9lm","Mogu Mogu","Japanese","4.7","(2000+)","Bangkok"
"a9bl","Ton Duean Street Food","Thai","4.3","(100+)","Bangkok"
"m8og","John Burrito Pizza","Italian","2.9","(40)","Bangkok"
"bx1j","Tid Sen Guay Chap Yuan","International","3.3","(18)","Bangkok"
"bo5t","Khao Rad Kaeng Mae Chawi","Thai","4.6","(100+)","Bangkok"
"u8wr","Kha Moo Khun Ming","Thai","4.3","(1000+)","Bangkok"
"bpzx","Hotspot Burger","American","1.6","(28)","Bangkok"
"ez97","Richman's Burger","International","4.4","(3)","Bangkok"
"fnog","Heng Pang Pua Wan Yen Tumrub China","Chinese","4.7","(80)","Bangkok"
"q13w","Kingkong Burger & Steak Bangkok","Thai","3","(1)","Bangkok"
"i6yj","Khao Kai Jeaw By Jenny","Thai","4.8","(100+)","Bangkok"
"psm2","Pla Muek Yang Look Chin Rod Zab (Ramkhamheang 29)","Asian","3.6","(2)","Bangkok"
"n4xx","Kai Jeaw Davika","Thai","4.7","(100+)","Bangkok"
"o7mj","Nai O Lookchintord Lhung Ram 24","Thai","4.9","(500+)","Bangkok"
"xphh","Som Tum Hiso Zab Luem Pua (Ramkhamhaeng 24)","Thai","4.5","(100+)","Bangkok"
"lv39","Friend Restaurant Drinks","Thai","4.3","(21)","Bangkok"
"u6pw","Ploy Kaew","Thai","4.1","(100+)","Bangkok"
"akmv","Beirut Bakery (Sukhumvit 33)","Middle Eastern","2.5","(17)","Bangkok"
"ovv7","Hello Mellow Fruit and Juice Bar (Sukhumvit 64)","Beverages","3","(1)","Bangkok"
"jxll","Pad Thai Suk24Food Arhan Thai (Soi Sukhumvit 24)","Thai","5","(37)","Bangkok"
"og32","Ka Moo Jom Hod Sukhumvit 77","Thai","4.5","(76)","Bangkok"
"w849","Khun Saeng Chan Phochana","Thai","4.9","(15)","Bangkok"
"o3dd","Zaab Bao Bao","Thai","4.8","(73)","Bangkok"
"i245","LE CAFÉ RAMA 4","Beverages","4.4","(57)","Bangkok"
"x1b3","Le Liban","Middle Eastern","4.6","(11)","Bangkok"
"t5zn","China King - The Great Indian Chinese (Sukhumvit22)","Chinese","4.4","(100+)","Bangkok"
"t2rj","Indian Essence Art","Indian","4.2","(1000+)","Bangkok"
"u6jy","My Butter Chicken (Park Avenue)","Indian","3.9","(100+)","Bangkok"
"a3rd","J' Noi Soi 4 Khao Mun Kai","Thai","4.4","(1000+)","Bangkok"
"g4nf","La pita","Middle Eastern","4.6","(2000+)","Bangkok"
"t3kd","Honey House Thai Cusine","Thai","4.4","(1000+)","Bangkok"
"u9eb","Pizza and Pasta corner","Italian","3.6","(100+)","Bangkok"
"ywy4","Fon Fon Food","Thai","4.5","(2000+)","Bangkok"
"xl2x","Khao Pad Poo Super Leng No.1 (Sukhumvit 31)","Thai","4.7","(100+)","Bangkok"
"cpe8","Cake Pak Daeng","Desserts","4.3","(10)","Bangkok"
"gkw2","Jungle Juice (Asoke)","Beverages","5","(54)","Bangkok"
"v9os","Big Night Hainanese Chicken","Thai","4.6","(2000+)","Bangkok"
"u9fo","Indian Grill","Indian","4","(100+)","Bangkok"
"u5im","Indian Hub","Indian","4.3","(100+)","Bangkok"
"lfd1","Club Kaprao (Rama 4 Road)","Thai","4","(18)","Bangkok"
"ild7","Moo Boston","Thai","4.5","(58)","Bangkok"
"v3po","The Sport Corner","American","4.4","(44)","Bangkok"
"j9dy","Ja Sarn Kao Tom Toh Rung","Thai","4.9","(100+)","Bangkok"
"fw7o","Kung at Hoi ( Soi Sukhumvit 64/1)","Asian","5","(2)","Bangkok"
"u1sa","Mala A Bow","Thai","4.7","(500+)","Bangkok"
"dywo","Mala Nat Hnong Halal","Chinese","4.9","(29)","Bangkok"
"cwr0","Mala Aoub Aun","Chinese","4.5","(17)","Bangkok"
"ytxv","Pee Bang Grilled Squid","Thai","4.5","(9)","Bangkok"
"v334","Mala Yan 55 (Ramkhamhaeng 55) (Halal)","Chinese","4.8","(100)","Bangkok"
"jhol","Capone's Pizza","Italian","4.4","(100+)","Bangkok"
"m8by","Pop Pop Gapao Jub Gang (Town in Town)","Thai","4.5","(1000+)","Bangkok"
"v3ud","Mala Cha Zeeddd","Chinese","4.8","(500+)","Bangkok"
"esci","COCO WALK","Beverages","5","(1)","Bangkok"
"vi01","Dong Dee (Town in Town)","Korean","4.7","(18)","Bangkok"
"lziy","Perfect Sin","Thai","4.8","(100+)","Bangkok"
"dt2a","AB Indian Cuisine","Indian","4.4","(100+)","Bangkok"
"s7je","SEA DRAGON","Beverages","4.6","(1000+)","Bangkok"
"mcfm","Honey Loves to Cook","Western","4.9","(100+)","Bangkok"
"z1hn","Guu Roti Cha Chak (Huamark)","Thai","4.7","(2000+)","Bangkok"
"etn8","Kai Yang Wichian Buri Lung Le","Thai","4.1","(98)","Bangkok"
"t3kz","Rawabina Lebanese Restaurant (halal food)","Middle Eastern","4.4","(2000+)","Bangkok"
"hyea","Teera Farm Mamuang Namplawan","Thai","4.5","(100+)","Bangkok"
"dofe","Joke Mae Suree (Wachirathamsathit)","Thai","4.7","(500+)","Bangkok"
"fvjw","Kai Yang Warin Jim Jum Rod Ded","Thai","4.6","(100+)","Bangkok"
