"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City"
"y0kn","KFC (Big C Burirum)","อาหารอเมริกัน","4.7","(100+)","Buriram"
"bkoy","Shell Cafe (Buri Ram)","เครื่องดื่ม","5","(1)","Buriram"
"pu38","Inthanin Coffee (Bangchack Station Mueang Buriram)","เครื่องดื่ม","4.8","(100+)","Buriram"
"n2hn","Kuaitiao Wiroch Ahan Tam Sang","อาหารไทย","4.7","(1000+)","Buriram"
"x6ai","KENCHA","Beverages","4.6","(100+)","Buriram"
"gf48","Nikuya (Buriram Castle)","Japanese","4.9","(6)","Buriram"
"yky4","Nueng Ahan Tam Sang (Thong Ku Kiat Market)","Thai","4.5","(100+)","Buriram"
"lrmk","Oishi Kitchen (Buriram Castle)","Japanese","4.7","(13)","Buriram"
"i8cm","Pa Plian Mhee Yam - Yam Mamuang","Thai","4.8","(100+)","Buriram"
"iivn","Arabus Cafe (Buriram Castle)","Beverages","4.3","(5)","Buriram"
"l6lg","P'Mon Kai Thot Hatyai","Thai","4.9","(100+)","Buriram"
"ia2b","R Go Kafae Boran","Beverages","4.8","(500+)","Buriram"
"g8cg","Nuan Kafae Sot","Beverages","4.7","(100+)","Buriram"
"s5eq","Oishi Salapao Homemade","Chinese","4.9","(100+)","Buriram"
"wo93","Bellinee’s Bake & Brew (Buri Ram)","Beverages","4.8","(8)","Buriram"
"y0li","Du Di (Buriram)","Thai","4.5","(100+)","Buriram"
"pb8e","Kuaitiao Nakhon Sawan","Thai","4.8","(100+)","Buriram"
"m0ir","Yok Mo Ping","Thai","4.7","(1000+)","Buriram"
"w9sz","Suwichai","Thai","4.1","(100+)","Buriram"
"djcb","Earth Coffee&Community","Beverages","5","(3)","Buriram"
"pwyy","Chok Tomyam","Thai","4.9","(96)","Buriram"
"w0dn","Guay Tieow Moo Bohraan","Thai","4.6","(500+)","Buriram"
"g2jo","Guay jap jay Lee","Thai","4.5","(100+)","Buriram"
"y0dd","Castle Black","Beverages","4.8","(100+)","Buriram"
"qrjg","Brewriram","Beverages","4.9","(10)","Buriram"
"adeb","Bai Yok","Thai","4.8","(100+)","Buriram"
"jxi5","Library Chill","Beverages","4.9","(100+)","Buriram"
"pv7q","Yok Kuat","Beverages","5","(22)","Buriram"
"j7gf","At 24 Cafe","Beverages","4.7","(82)","Buriram"
"k1kf","Kuaitiao Klang Rai","Thai","4.6","(500+)","Buriram"
"p6dl","Lap Chaiyaphum","Thai","4.6","(59)","Buriram"
"p5so","Charoen Yentafo","Thai","4.6","(100+)","Buriram"
"m4xy","89 Cafe","Beverages","4.9","(500+)","Buriram"
"v291","Lak Sana Kha Mu","Thai","4.9","(21)","Buriram"
"pohy","Five Star Chicken (Nangrong Hospital)","Thai","4.6","(15)","Buriram"
"cxd6","Kuaitiao Pao Pak Nangrong","Thai","4.6","(100+)","Buriram"
"p8nh","Ton O Ahan Tam Sang","Thai","4.7","(1000+)","Buriram"
