"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City"
"p9xa","Jea Kaew Tom Ruead Moo - Joke","Thai","4.2","(500+)","Chachoengsao"
"rl0g","Kuaitiao Ruea Ayutthaya Hoi Thot PhatThai","Thai","4.5","(100+)","Chachoengsao"
"mcmv","Nua Lin Kao Pla Kae","Thai","4.7","(42)","Chachoengsao"
"k6wi","Pakmor Namwon","Thai","4.9","(68)","Chachoengsao"
"mfwm","Kaow Pla Kae by Nua Lin","Thai","4.8","(100+)","Chachoengsao"
"oqzh","Krua Ae Aim Suk","Thai","4.2","(69)","Chachoengsao"
"l8fn","A Bui Ped Yang Pad Riew","Thai","4.5","(100+)","Chachoengsao"
"p6qf","KanomJeen Sen Sot","Thai","4.6","(500+)","Chachoengsao"
"rd73","โจ๊ก ต้มเลือดหมู นายต้าร์","Thai","5","(3)","Chachoengsao"
"raa8","Nom Sod Tha Yai  ( Branch 2 )","Thai","4.8","(500+)","Chachoengsao"
"o1pa","Studio Cafe'","Beverages","4.9","(500+)","Chachoengsao"
"j2md","Chicken Rice Yai Sud-Ting","Thai","4.6","(100+)","Chachoengsao"
"o8mh","PaDa KaoMunKai","Thai","4.6","(1000+)","Chachoengsao"
"i1mn","Plachum Bistro","Western","4.8","(100+)","Chachoengsao"
"mqse","To Da Moon Coffee","Beverages","5","(44)","Chachoengsao"
"iwh3","Khaomankai Rod Det","Thai","4.2","(7)","Chachoengsao"
"fhml","Khrua Khay Khai","Thai","4.3","(39)","Chachoengsao"
"s5ht","Guaytiew ruea Rosdet","Thai","4.8","(100+)","Chachoengsao"
"uaqm","Rong Tiam Aroi Ho","Thai","3","(25)","Chachoengsao"
"nwpw","Ruean Kham Aroi","Thai","4.3","(100+)","Chachoengsao"
"k1cr","Tohn A-Haan Tam Sang","Thai","4","(100+)","Chachoengsao"
"p6ug","Mood and Tone Specialty Coffee","Beverages","4.9","(500+)","Chachoengsao"
"fwa4","Bellinee’s Bake & Brew (Srisothon Chachoengsao)","Beverages","4","(63)","Chachoengsao"
"s1ka","Khun Ple Cocktail","Beverages","3.2","(26)","Chachoengsao"
"bc6b","Pun Thai Coffee (Chachoengsao 4)","Beverages","4.8","(100+)","Chachoengsao"
"r8eq","Immaroi (Sapsin Market)","Thai","4.7","(2000+)","Chachoengsao"
"p2lb","M Tum Zap","Thai","4.7","(1000+)","Chachoengsao"
"xn87","R Hantamsung Pi Maw","Thai","4.3","(1000+)","Chachoengsao"
"o1yu","Koi Cafe (Plaza)","Beverages","4.7","(500+)","Chachoengsao"
