"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City"
"c0zv","Big Milk","Beverages","4.7","(1000+)","Chai Nat"
"d4qj","Nhom Nom Noie","Beverages","4.8","(1000+)","Chai Nat"
"tsci","Kin Tee Ban Ka Phrao Ded (Chai Nat)","Thai","5","(3)","Chai Nat"
"f4al","Kor Kook Cafe","Beverages","4.7","(100+)","Chai Nat"
"c8vw","Oak Ka Im Gyoza Tod Nam","Japanese","4.8","(500+)","Chai Nat"
"xlct","MALONGZE BUBBLE MILK TEA","Beverages","5","(18)","Chai Nat"
"d6na","Krutid Coffee ( Branch Chainat Resort )","Beverages","4.9","(500+)","Chai Nat"
"qd8q","Mini Bean and Tea","Beverages","5","(100+)","Chai Nat"
"ckve","The Duck (Phaholyothin Road Chai Nat)","Beverages","5","(44)","Chai Nat"
"i5ry","Ked Sa Ya Nun","Thai","4.6","(500+)","Chai Nat"
"v539","Boran Noodle by Mae Ranu","Thai","3.5","(100+)","Chai Nat"
"c7hm","Kao Mun Kai - Kai Tod","Thai","4.6","(100+)","Chai Nat"
"e3nz","Je Lek Chern Chim","Thai","4.6","(500+)","Chai Nat"
"d9oo","Sam Yaek Ka Fae Sod","Beverages","4.3","(100+)","Chai Nat"
"na97","Nong Dream Ruam Aroi","Thai","4.7","(100+)","Chai Nat"
"h4hq","Cha Payom N and N","Beverages","4.9","(52)","Chai Nat"
"hdhn","Pun Thai Coffee (Chai Nat 2)","Beverages","5","(100+)","Chai Nat"
"na7j","Whale Cha Nom (Chainat)","Beverages","3","(39)","Chai Nat"
"e4s6","Cha Pranakorn (Chai Nat)","Beverages","5","(22)","Chai Nat"
"yc9r","Lamead Lamai","Beverages","5","(6)","Chai Nat"
"q0p0","Krua Ton A Ngun","Thai","4.8","(75)","Chai Nat"
"g5gt","Steersman Cafe","Beverages","4.8","(100+)","Chai Nat"
"bxvy","PM Food and Coffee","Beverages","5","(41)","Chai Nat"
"yltf","Ban Ploy","Thai","4.4","(4)","Chai Nat"
"e1sw","Non Tokyo and Omelette","Thai","4","(100+)","Chai Nat"
"e0pk","Hnung Tum Naw","Thai","3.8","(100+)","Chai Nat"
"c9po","Krapraoteun Khaobeum","Thai","4.4","(500+)","Chai Nat"
"e5bb","Kanom Jeen Lagkana","Thai","3.5","(100+)","Chai Nat"
"c6qg","Zom Pizza and Crape","Italian","4.7","(100+)","Chai Nat"
"d6nx","zom cafe","Italian","4.5","(100+)","Chai Nat"
"i8fy","Zom pizza","Thai","3","(11)","Chai Nat"
"n1rv","Som Tum Pa Tao","Thai","4.6","(100+)","Chai Nat"
"s5sq","Bankluai Cafe","Beverages","4.9","(96)","Chai Nat"
"l18z","Shell Cafe (Ban Kluai)","Beverages","5","(24)","Chai Nat"
"mn18","Mae Phua Tam Sang","Thai","4.4","(19)","Chai Nat"
"agdj","Jo Kub Jai","Thai","4.7","(17)","Chai Nat"
"qgkj","Khrua Lung Po","Thai","4.9","(24)","Chai Nat"
"pyl3","Kafae Thung Kradat","Beverages","5","(15)","Chai Nat"
"k8k4","Chaokuai Heha Nom Mi Pan","Thai","4.6","(100+)","Chai Nat"
"d3us","Shrimp Shake","Beverages","4.6","(100+)","Chai Nat"
"yzmj","Khrob Krua Mhoo Krob","Thai","5","(11)","Chai Nat"
"ngvx","Minibean and Tea 19 Baht","Beverages","4.9","(100+)","Chai Nat"
"f3yr","Suparat Restaurant","Thai","4.6","(1000+)","Chai Nat"
"d7yk","Yanisa Tom Lerd Moo","Thai","4.7","(500+)","Chai Nat"
"gy5a","Guay Tiaw Look Chin Nam Chai and Tam Sang","Thai","5","(13)","Chai Nat"
"m9a5","Ban Mae","Thai","5","(6)","Chai Nat"
"uc7n","Miang Salon","Thai","5","(6)","Chai Nat"
"d0vg","Boat Noodles Chainat","Thai","4.5","(1000+)","Chai Nat"
"d6qy","Ka Nom Beung Pa Tip","Thai","4.8","(100+)","Chai Nat"
"d6ox","Pu restaurant","Thai","4.7","(100+)","Chai Nat"
"d1aj","Jae Yu","Thai","4.4","(100+)","Chai Nat"
"swju","Pathongko Kho Pa Ka (Chai Nat)","Chinese","5","(5)","Chai Nat"
"g6lp","Cha Na Khon Chai","Beverages","4.8","(500+)","Chai Nat"
"df4d","Theerachai Kao Mun Kai","Thai","3.5","(12)","Chai Nat"
"d1or","Mr Whale Bubble Tea","Beverages","4.7","(100+)","Chai Nat"
"j0ir","Khao Kang Je Nohk","Thai","3.5","(33)","Chai Nat"
"cvxv","Croffle Station","International","5","(10)","Chai Nat"
"e7xw","Pa pa Fresh fruit","Thai","4.6","(100+)","Chai Nat"
"d2tr","The Fire Bear (Chai Nat)","Beverages","4.7","(100+)","Chai Nat"
"d2xv","Ba-Hmee Gieow Pawn shop","Thai","4.6","(100+)","Chai Nat"
"f9pi","Chinese Spicy Noodle","Thai","4.7","(67)","Chai Nat"
"s5cw","Ka Prao Khao Nim","Thai","4.6","(100+)","Chai Nat"
"f3da","Chaichana Milk","Beverages","4.7","(100+)","Chai Nat"
"f2tj","Lab Som Cheng Tamsang","Thai","4.2","(500+)","Chai Nat"
"hf02","Pa Ta Nam Ma Prow Pun Nom Sod","Beverages","4.9","(43)","Chai Nat"
"vaso","Khaw Tom Tong Ma","Thai","5","(3)","Chai Nat"
"g1zm","Lung Lek Yen Ta Fo","Thai","4","(70)","Chai Nat"
"f9lv","Milo Dip","Beverages","4.8","(76)","Chai Nat"
"c0cu","Tha Prachan Cafe","International","4.7","(100+)","Chai Nat"
"o25s","Pan Pa La Milo Pan & Pang Yen Khaw Khai Khon","Thai","2.9","(4)","Chai Nat"
"e6zf","Go Hub Noodle (Chai Nat)","Thai","4.6","(100+)","Chai Nat"
"ws1y","Gin Gub Ben","Thai","4.4","(3)","Chai Nat"
"pnt8","Yum Pa Dum","Thai","4.6","(92)","Chai Nat"
"xmh6","The Midas Burger","Western","4.8","(41)","Chai Nat"
"mmck","Mom And Me Chainat","Japanese","5","(1)","Chai Nat"
"e2lk","Krua Nop Porn","Thai","4.6","(1000+)","Chai Nat"
"g2jk","Shabu Boo Tueng (Chai Nart)","Japanese","3.9","(100+)","Chai Nat"
"sj3r","Pa Nian Ar Han Tam Sang","Thai","4","(100+)","Chai Nat"
"ytyz","Khrua E San (Chai Nat)","Thai","5","(6)","Chai Nat"
"llri","Ban Si Chan Tam Sang Som Tum Yum Lab","Thai","4.9","(5)","Chai Nat"
"h5qy","Toh Arhan Pa","Thai","4.3","(100+)","Chai Nat"
"d8ma","The Pizza Company (Lotus Chainat)","Italian","4.8","(500+)","Chai Nat"
"s5wg","Moma's Bubble Tea Bar Tesco Lotus Chainat Branch","Beverages","4.8","(100+)","Chai Nat"
"vnjo","Fitto Cha (Chainat)","Beverages","4.7","(100+)","Chai Nat"
"exar","Tum Yum Kod Prik (Chainat)","Thai","4.6","(24)","Chai Nat"
"rnxz","Moo Jum Tha Jang Kung Phao","Thai","4.8","(10)","Chai Nat"
"g8rd","Soup Nor Mai Chicken Feet by Cherry","Thai","4.5","(100+)","Chai Nat"
"cqey","Kai Tod Chai Oat (Soi Nok Kao)","Thai","4.5","(12)","Chai Nat"
"p42k","Poo Tom Yum","Thai","5","(4)","Chai Nat"
"p0yz","MK Restaurant (Tesco Lotus Chai Nat)","Thai","4.8","(500+)","Chai Nat"
"r234","French Fries in Front of Anuban (Soi Nokkao)","Thai","4.8","(100+)","Chai Nat"
"gfj4","Som Tum Yum Lab","Thai","4.9","(43)","Chai Nat"
"d9ig","Steak Lungyai Chainat","Western","4.7","(500+)","Chai Nat"
