"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City"
"j6cg","Kluai Thot - Kluai Yang JP","Thai","4.5","(100+)","Chanthaburi"
"j6kw","Nueng Khaomankai JP","Thai","4.5","(100+)","Chanthaburi"
"mkj5","Sis Dao Cafe","Beverages","5","(27)","Chanthaburi"
"g3if","Ran Khao Mun Kai Jae Daeng JP","Thai","4.2","(500+)","Chanthaburi"
"f9yb","Kuw Teow Moo Nam Tok JP","Thai","4.7","(500+)","Chanthaburi"
"d4lp","Tom Luerd Moo Trad Nai Boy (Lang Sala Klang)","Thai","4.5","(1000+)","Chanthaburi"
"qnkw","Shell Cafe (Tha Chalab Road)","Beverages","4.9","(93)","Chanthaburi"
"eb3c","Are Ma Tam Sang (Bo Kho So.)","Thai","4.3","(99)","Chanthaburi"
"h7im","Num Chai Kao Mun Kai","Thai","4.8","(92)","Chanthaburi"
"xkyd","Kuaitiao Pok Pok Noen Es So","Thai","4.6","(100+)","Chanthaburi"
"tblo","Pa Tong Ko Noen Esso (Soi Chawanauthit 8)","Thai","4.9","(57)","Chanthaburi"
"d2zb","JJ Arhan tam sung","Thai","4.6","(2000+)","Chanthaburi"
"b5cc","Ka Mook","Beverages","4.8","(1000+)","Chanthaburi"
"b9aw","Coffee Corner and Bakery","Beverages","4.7","(4000+)","Chanthaburi"
"vtbw","Je Chan","Thai","4.8","(500+)","Chanthaburi"
"c1ox","ASCII","Beverages","4.8","(1000+)","Chanthaburi"
"e4ci","Oum Coffee by Kao Kaeng Jea Juob","Beverages","4.8","(2000+)","Chanthaburi"
"a91i","Salad Khrueang Nan by Nar Larn","Thai","3.1","(31)","Chanthaburi"
"b0ty","Kaow Kang Pa by Je Sao","Thai","4.7","(1000+)","Chanthaburi"
"d8wn","Bhamee Charoenying Talad Suan Mamuang","Thai","4.6","(500+)","Chanthaburi"
"p6ix","Joke Jae Wan","Thai","4.8","(500+)","Chanthaburi"
"c5vh","Somtumpa Pa Sawai Noen Esso","Thai","4.3","(500+)","Chanthaburi"
"sgyr","Joke (Thachalab)","Thai","3.7","(18)","Chanthaburi"
