"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City"
"x9cy","Lamdee coffee","International","4.8","(100+)","Chiang Mai"
"kbed","Chabaa Restaurant","Thai","4.8","(100+)","Chiang Mai"
"r4rb","Raan Aai Lome","Thai","4.6","(500+)","Chiang Mai"
"nddk","Moo Ping Khun Ta","Thai","4.1","(100+)","Chiang Mai"
"z9o0","Space coffee","Beverages","4.9","(12)","Chiang Mai"
"x9zg","NAPAT STREET FOOD","Thai","4.7","(3000+)","Chiang Mai"
"x2gy","Ban Lam Yai Lamdee","Thai","4.7","(100+)","Chiang Mai"
"c5eb","Sataporn Guaytiewped tun","Thai","4.6","(100+)","Chiang Mai"
"y6lj","Soi Tee Kuay Tiew Lukchin Pla Krai","Thai","4.7","(500+)","Chiang Mai"
"xcf8","Tamnua Mueang Nuea (Super branch)","Thai","5","(3)","Chiang Mai"
"v5sf","Tee Muay Boat Noodle (Payap)","Thai","4.6","(100+)","Chiang Mai"
"qrgq","Kuaitiao Ban Khun Yai","Thai","4.8","(100+)","Chiang Mai"
"d6sc","Waffle Nom Sod by Nom Pung Jeaw","Beverages","4.7","(100+)","Chiang Mai"
"x9gl","Siri Coffee","Beverages","4.9","(500+)","Chiang Mai"
"b4kz","Paeng Home (Crepe Tokyo Khanom Krok)","Thai","4.7","(500+)","Chiang Mai"
"x3yd","Ueang Phueng Ahan Tamsung","Thai","4.4","(500+)","Chiang Mai"
"r2nz","Che chao ngo","Thai","4.7","(100+)","Chiang Mai"
"y1xo","Nom Pang Chiao","Beverages","4.8","(500+)","Chiang Mai"
"u2xj","Aiya Coffee","Beverages","4.7","(1000+)","Chiang Mai"
"n1c7","Roasto","Beverages","4.9","(4)","Chiang Mai"
"u1mc","Kai Khun Noodle","Thai","4.6","(500+)","Chiang Mai"
"lc67","Tum Nua Mueang Nuea","Thai","4.1","(100+)","Chiang Mai"
"pv32","Ran- Nong Tin","Thai","4.7","(500+)","Chiang Mai"
"bgnh","Cr Sandwiches Homemade","Thai","4","(32)","Chiang Mai"
"oc1b","Khao Rat Kaeng Pa Ting Chao Kao (San Klang )","Thai","4.9","(100+)","Chiang Mai"
"y6rd","Butterfly Pea Sticky Rice with Fried Pork","Thai","4.7","(100+)","Chiang Mai"
"r7fp","Coffee Connect at Charoen Mueang","Beverages","4.8","(41)","Chiang Mai"
"b2bc","I Love Kitchen","Thai","4.8","(100+)","Chiang Mai"
"y1cb","Num Chai Noodle By Lam Tang Phe","Thai","4.6","(100+)","Chiang Mai"
"v3xb","Gut Cha Gaa Fae","Beverages","4.8","(1000+)","Chiang Mai"
"vdhf","Green Mood Cafe","Beverages","4.9","(100+)","Chiang Mai"
"h7lr","Tang Jai Tum Mhoo Tod (Sri Bua Ngern)","Thai","4.6","(500+)","Chiang Mai"
"y8zl","Tuache Moo Tod Nampla","Thai","4.9","(1000+)","Chiang Mai"
"y0eq","Khao Mun Kai Payap","Thai","4.7","(1000+)","Chiang Mai"
"e5zc","FRIEND ZONE (ร้านอาหารตามสั่ง)","Thai","4.7","(100+)","Chiang Mai"
"k8yw","Pad Thai Boran","Thai","3.9","(100+)","Chiang Mai"
"w3iy","Give Me Coff","Beverages","4.9","(2000+)","Chiang Mai"
"v4ht","Kao Man Kai Janpen","Thai","4.7","(1000+)","Chiang Mai"
"d0mb","Shabushi (Big C Chiangmai 2)","Japanese","4.8","(100+)","Chiang Mai"
"a7nr","SANDEE COEEFF 25 BAHT (Aommuang Market)","Beverages","4.9","(500+)","Chiang Mai"
"a4jr","Krua Kiang Rang","Thai","4.5","(100+)","Chiang Mai"
"uuye","Nam Thung Hiw","Thai","5","(51)","Chiang Mai"
"c7hg","D Thae Coffee","Beverages","4.8","(500+)","Chiang Mai"
"w5ez","Trailer Coffee (CBP)","Beverages","4.8","(100+)","Chiang Mai"
"irvj","Seua","Beverages","5","(1)","Chiang Mai"
"y3lm","Neng Phochana","Thai","4.9","(1000+)","Chiang Mai"
"gry7","Good Coffee Bar (Chiang Mai)","Beverages","5","(36)","Chiang Mai"
"oetm","Shell Cafe (Montfort)","Beverages","4.9","(57)","Chiang Mai"
"hy8v","Thung Ngoen Coffee and More","Thai","5","(3)","Chiang Mai"
"do94","Kai Yang Golek","Thai","4.8","(100+)","Chiang Mai"
"fowv","Roastniyom Coffee Caltex","Beverages","4.8","(100+)","Chiang Mai"
"akdo","Kai Tod Samunphrai Thukchai (Sam Yaek Mo Wong Branch)","Thai","5","(11)","Chiang Mai"
"r3iv","Jiratcha Cafe’","Thai","4.7","(500+)","Chiang Mai"
"wqxu","Kuay Tiew Ruea Aroi Mak (Chiang Mai Railway Station)","Thai","4.8","(84)","Chiang Mai"
"xb0a","Chee","Thai","3.4","(9)","Chiang Mai"
"q8x0","Kuaitiao Ruea Loet Niyom (Nhong Pa Krung)","Thai","4.6","(59)","Chiang Mai"
"bues","Thai Pan Cafe","Beverages","5","(3)","Chiang Mai"
"awtl","High Herb Kombucha And Smoothies","Beverages","5","(6)","Chiang Mai"
"y4fm","18 Grams","Beverages","5","(100+)","Chiang Mai"
"g2kk","Kuaitiao MuNia Ba Imkable","Thai","4.2","(100+)","Chiang Mai"
"y4pf","Pin Kaew","Thai","4.7","(500+)","Chiang Mai"
"azbi","La moon Dee Coffee","Beverages","5","(42)","Chiang Mai"
"v2tn","Varunee Thai Food","Thai","4.5","(500+)","Chiang Mai"
"dt5h","Dan Kaomunkai (Kad Sam Yaek)","Thai","4.9","(1000+)","Chiang Mai"
"y5yd","Pee Nai Cha Thai","Beverages","4.7","(100+)","Chiang Mai"
"iszs","Allegria Bistro Chiangmai","International","4.9","(100+)","Chiang Mai"
"n1q5","Scone House","International","3.6","(29)","Chiang Mai"
"z5zf","Doi Luang Coffee Branch Sansai","Beverages","4.8","(100+)","Chiang Mai"
"w2pl","Thai Denmark Chiangmai","Beverages","4.8","(1000+)","Chiang Mai"
"x6fp","The Sun","Beverages","4.9","(1000+)","Chiang Mai"
"bs5s","S&P Bakery Shop (Maccormick Hospital Chiangmai)","International","5","(7)","Chiang Mai"
"y7bs","KRIT O CHA","Thai","4.5","(100+)","Chiang Mai"
"l6nv","KRUA KHUN NOK","Thai","4.3","(500+)","Chiang Mai"
"w5gk","Khao Soi Ban Lanna","Thai","4.6","(100+)","Chiang Mai"
"a3kr","Pause and Play","Beverages","4.8","(100+)","Chiang Mai"
"fv8o","Ar Meen Ar Harn Tamsang Halal","Asian","5","(49)","Chiang Mai"
"e144","VT Namnueng Chiangmai","Vietnamese","4.9","(1000+)","Chiang Mai"
"w1wo","Laila Chicken Biryani","Thai","4.7","(500+)","Chiang Mai"
"u5qd","Nakhonsawan Rice Porridge","Thai","4.8","(2000+)","Chiang Mai"
"u8bd","Lai La Chicken Biryani","Thai","4.7","(1000+)","Chiang Mai"
"o2jq","Yui Phochana","Thai","4.6","(100+)","Chiang Mai"
"hw8y","Kaprow Kradong Ban Chan (Rim Nam Ping)","Thai","4.7","(1000+)","Chiang Mai"
"u5vm","Rotee Laila 3","Thai","4.8","(100+)","Chiang Mai"
"b4zv","Mae Hom Cafe","Beverages","4.1","(24)","Chiang Mai"
