"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City"
"x1tx","Kuaitiao Puea Rot Det (5 Yaek Phokhun)","Thai","4.8","(2000+)","Chiang Rai"
"c4as","Cha Tanyong","Beverages","4.9","(500+)","Chiang Rai"
"fzht","Blue House Coffee at Chiang Rai","Beverages","5","(4)","Chiang Rai"
"w0pw","HUWEI","Thai","4.7","(100+)","Chiang Rai"
"x4cg","Tiew Ruea Lay","Thai","4.5","(77)","Chiang Rai"
"v0xi","Kaomunkai Pa Da","Thai","4.7","(3000+)","Chiang Rai"
"nq9i","The Great Start Cafe","Beverages","5","(2)","Chiang Rai"
"finy","Khod Hug Kaprow","Thai","4.1","(36)","Chiang Rai"
"v9kg","Som Tam Hod Sak","Thai","4.3","(2000+)","Chiang Rai"
"v1wx","Ran Pa Ting Korloy","Thai","4.3","(100+)","Chiang Rai"
"o1cy","Naraya Muay Fruit Shop","Thai","4.7","(100+)","Chiang Rai"
"hsz9","Kaprow Kai Kon Prik Haeng (Lampang)","Thai","4.8","(100+)","Chiang Rai"
"v7lt","Coffee Bright","International","4.9","(100+)","Chiang Rai"
"jo2c","1:2 Coffee Warehouse","Beverages","4.8","(3000+)","Chiang Rai"
"v6ct","Dang and Aerng Bakery","Thai","4","(100+)","Chiang Rai"
"k1mb","Ban Kanomjeen Baibua","Thai","4.3","(100+)","Chiang Rai"
"q6je","Namphrik Sa Pa Phak Luak","Thai","4.5","(500+)","Chiang Rai"
"a7lq","Khun Mam Restaurant","Thai","4.7","(97)","Chiang Rai"
"y9lv","Somtum Buengkan Buengkhonglong","Thai","4.1","(500+)","Chiang Rai"
"x4gu","Ran Nai Boy","Thai","4.6","(500+)","Chiang Rai"
"g6fh","Swensen's (Chiangrai)","American","4.9","(100+)","Chiang Rai"
"h6st","Ton Hukwang","Thai","4.6","(2000+)","Chiang Rai"
"w2xi","Mootord Jaewbong","Thai","4.4","(500+)","Chiang Rai"
"f6ga","Kaosoi Porjai","Thai","4.7","(500+)","Chiang Rai"
"h9ej","White n' Black Chocolate by Tong Siam","Beverages","4.8","(100+)","Chiang Rai"
