"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City"
"gebw","Fumiko by Challs","Beverages","4.9","(23)","Chon Buri"
"hswm","Mc Ghin Coffee and Tum Nua","Thai","4.9","(37)","Chon Buri"
"b3my","Kuaytiew Ekamai","Thai","4.9","(100+)","Chon Buri"
"yvyh","Daily Donuts (Khao Talo)","International","4.6","(54)","Chon Buri"
"e9rw","Pa Maitri Kaeng Tai","Thai","4.7","(100+)","Chon Buri"
"ro4e","Cafe Amazon (PTT Huai Yai)","Beverages","4.5","(59)","Chon Buri"
"hu55","Krua Nai Ban (Soi Noenplubwan)","Thai","4.3","(100+)","Chon Buri"
"fo3y","Route 66 Diner Pattaya","Thai","4.8","(100+)","Chon Buri"
"s9cp","Takmor Khao Man Kai","Thai","3.4","(54)","Chon Buri"
"x4wl","Jah Tea Bar","Thai","4.5","(100+)","Chon Buri"
"dviz","Kuai Tiao Pla Pa Jaeo","Thai","4","(17)","Chon Buri"
"ex8c","Kanom Jeen Pa Tu","Thai","5","(47)","Chon Buri"
"b6hn","Khao Mun Gai Nar Wang Branch 2","Thai","4.9","(1000+)","Chon Buri"
"ytml","Halal Ko Soy Milk Sandwich Kanom Pang","Thai","4.9","(100+)","Chon Buri"
"z9zv","Subaidah Krua Muslim","Thai","3.9","(500+)","Chon Buri"
"g0fb","Sulbing (Sanam Dai Golf Greenway)","Desserts","4.7","(15)","Chon Buri"
"a7g8","Hong Tae Chicken Rice","Thai","4.5","(67)","Chon Buri"
"qc1w","Doi Kham (PTT Jomtien Beach)","Beverages","5","(3)","Chon Buri"
"i1bb","Tomloerdmoo Boebae","Thai","4.7","(100+)","Chon Buri"
"g9r3","Black Canyon (PTT Yak Jomtien Pattaya)","Beverages","4.4","(100+)","Chon Buri"
"czt0","Oh Bob Cafe","Korean","3.8","(100+)","Chon Buri"
"ex94","Pad Thai Lekthi 49","Thai","4","(56)","Chon Buri"
"lm3q","Nuch Phadkapao","Thai","4.9","(100+)","Chon Buri"
"x4fn","Ayutthaya Noodle By Ko Sak","Thai","4.5","(1000+)","Chon Buri"
"q9gb","Marium Kaow Mun Kai Pattaya Land at Laplae","Thai","4.8","(100+)","Chon Buri"
"uqmr","เซนต์ชาปังปิ้ง ชานมไข่มุก","Desserts","5","(2)","Chon Buri"
"d0ui","Ran Khanomchin Sut Khun Yai","Thai","4.8","(100+)","Chon Buri"
"g2bi","Krua Luang Man Kaeng Tai","Thai","4.9","(46)","Chon Buri"
"h3qu","Bualoy Parinya Pattaya Branch","Thai","4.5","(100+)","Chon Buri"
"bc6f","P&T Homemade","Japanese","4.5","(4)","Chon Buri"
"n0fu","Parinya 456 Tam Yam Sab","Thai","4.8","(100+)","Chon Buri"
"s9wx","Khop Khraw Kon Rak Sukaparb","Beverages","4.6","(100+)","Chon Buri"
"j8ax","Ss66 Coffee and Bakery","Beverages","4.8","(86)","Chon Buri"
"mtoq","Si Kafae","Beverages","4.6","(91)","Chon Buri"
"s3xf","Chai Oil Kitchen 500 menus","Thai","4.1","(100+)","Chon Buri"
"amrp","Somtom Hiso Part 2","Thai","4.8","(33)","Chon Buri"
"kyl9","Thepprasit Kitchen","Thai","4.5","(67)","Chon Buri"
"l7ca","Kebab Chicken Cheese Pon Fai Rangsit (Branch Pattaya)","Middle Eastern","4.2","(16)","Chon Buri"
"k2nq","McDonald's (Pattaya Klang Drive Thru)","American","4.5","(4000+)","Chon Buri"
