StoreId,CompleteStoreName,FoodType,AverageRating,Reviewers,City
x4ni,Jing Jung,อาหารไทย,4.5,(500+),Kamphaeng Phet
f1kc,Inthanin Coffee (Bangchak Gas Station Kamphaeng Phet),เครื่องดื่ม,4.8,(500+),Kamphaeng Phet
o10o,Kin Plern Rim Klong,อาหารเอเชีย,4.1,-10,Kamphaeng Phet
x2gp,Ratthapoom Kai Yang WichianBuri,อาหารไทย,4.2,(100+),Kamphaeng Phet
i0pr,Krit's Kitchen,อาหารไทย,4.8,(100+),Kamphaeng Phet
n0ov,Khaow Tiew Lung Mor,อาหารไทย,4.8,(100+),Kamphaeng Phet
x5ap,Kru Torm Thai Noodles,อาหารไทย,4.8,(1000+),Kamphaeng Phet
z7qy,Fresh Fruit at Pamai,อาหารไทย,4.6,(100+),Kamphaeng Phet
ajie,Kraphrao Kha Yao Pak,อาหารไทย,4.9,-4,Kamphaeng Phet
y9ng,Ban Ban Noodle,อาหารไทย,4.7,(500+),Kamphaeng Phet
xly0,Aim Aroi  Khao Soy Kai,อาหารเอเชีย,5,-1,Kamphaeng Phet
b6dk,Jae Nee Kao Kamoo,อาหารไทย,4.6,(100+),Kamphaeng Phet
y7mp,Ninja Coffee,เครื่องดื่ม,4.8,(100+),Kamphaeng Phet
jg9e,Pa Dao Arhan Tam Sung (Rong Pak Tesa 2 Soi 3),อาหารไทย,4.7,-64,Kamphaeng Phet
le3e,Chicken Rice & Tom Yum Chicken Noodle Nakhon Chum,อาหารไทย,4.8,-81,Kamphaeng Phet
x1dw,Zaap Sud Soi,อาหารไทย,4.7,(1000+),Kamphaeng Phet
c6xo,Thammarat Pochana,Thai,4.7,(500+),Kamphaeng Phet
a8bg,COCOA NAA MHEE',Beverages,4.8,(1000+),Kamphaeng Phet
x8mm,Noodle Urai (Tonpho Market),Thai,4.7,(2000+),Kamphaeng Phet
y2ho,Shong Cha Brown Sugar (Rajabhat Kamphaengphet),Beverages,4.7,(1000+),Kamphaeng Phet
z9ce,Sweet Bites,International,4.7,(500+),Kamphaeng Phet
h7kg,Pha Or Or Jao Tamsang Ton Pho,Thai,4.5,(500+),Kamphaeng Phet
y5qa,Nom Yai,Thai,4.8,(2000+),Kamphaeng Phet
vven,3 5 Cafe,Beverages,4.5,-51,Kamphaeng Phet
xfao,Boost Up Cafe,Beverages,5,-39,Kamphaeng Phet
n1bv,Tum Mua Na Jaun,Thai,4.5,(100+),Kamphaeng Phet
z2ia,Cha Jai Story,Beverages,4.9,(100+),Kamphaeng Phet
r9pp,Bamhee Chakangrao and Moosateh Nai Phol (Tonpho),Thai,4.7,(500+),Kamphaeng Phet
tcuh,Baan Fueng Khao Soi Chiang Mai Ahan Tamsang Khanomchin Nam Ngiao,Thai,4.1,-40,Kamphaeng Phet
sfgh,Padthai Jae Joom Khwan Nakorn,Thai,4.5,(100+),Kamphaeng Phet
e7rm,i'm Bakery and Beverage,Beverages,4.7,(500+),Kamphaeng Phet
iawv,Hero Bear,Beverages,4.3,-2,Kamphaeng Phet
r1he,Kai Tod Samunpai Lungmor,Thai,4.7,(100+),Kamphaeng Phet
k6j7,Hens (Kamphaeng Phet),Beverages,4.1,-2,Kamphaeng Phet
vx7w,Proof Bakery and Coffee,Beverages,4.9,-10,Kamphaeng Phet
e9pq,Candy Co Cafe,Beverages,4.8,(100+),Kamphaeng Phet
