"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City"
"xlns","One Tea Cafe","Thai","4.9","(1000+)","Kanchanaburi"
"tdhu","Kin Khao Baan Thong Un","Thai","2.6","(10)","Kanchanaburi"
"g9rc","Khao Kaeng Ya Mai Khio","Thai","4.5","(1000+)","Kanchanaburi"
"s2wq","Bok Tor Arhan Tamsung","Thai","4.5","(1000+)","Kanchanaburi"
"l8cu","Chakono (Kanchanaburi)","Beverages","4.8","(2000+)","Kanchanaburi"
"i60g","Ya Arhantamsung","Thai","4.3","(100+)","Kanchanaburi"
"m8fe","Tom Tum Tum Pa Rot Det","Thai","4.4","(1000+)","Kanchanaburi"
"ks68","Sai Nom (Kanchanaburi)","International","4.4","(100+)","Kanchanaburi"
"s9fo","Tawee Choke's Kitchen","Thai","4.6","(500+)","Kanchanaburi"
"k3df","TJ Coffee","Beverages","4.7","(100+)","Kanchanaburi"
"mybc","Moo Satay Hiso (Kanchanaburi)","Thai","4.8","(89)","Kanchanaburi"
"rp7o","Tao Bin (Kanchanaburi)","Beverages","4","(1)","Kanchanaburi"
"i9m5","19 Burger (Kanchanaburi)","Western","4.7","(100+)","Kanchanaburi"
"ae30","Inthanin (Phasuk Market)","Beverages","4.4","(86)","Kanchanaburi"
"ynjj","Tanya Suki","Thai","4.7","(40)","Kanchanaburi"
"lv00","Manoi (Mueang Kanchanaburi)","Beverages","4.9","(14)","Kanchanaburi"
"qgpg","BAI-CHA","Beverages","4.9","(100+)","Kanchanaburi"
"nzxz","Cha Kayao Cha Pak Tai","Beverages","5","(6)","Kanchanaburi"
"e8w5","Whale Bubble Milk Tea (Kanchanaburi)","Beverages","4.9","(500+)","Kanchanaburi"
"e8nh","Sa La Pao Meuang Kan","Thai","4.8","(100+)","Kanchanaburi"
"s59m","Nong Pun Pun Arhantamsung","Thai","4.8","(100+)","Kanchanaburi"
"h6kr","Home To Cafe","Beverages","4.8","(100+)","Kanchanaburi"
"o9od","Ban Ung Kitchen","Thai","4.8","(1000+)","Kanchanaburi"
"tvej","Khao Kaphrao Ban Mae (Soi Rong Namkhaeng)","Thai","5","(4)","Kanchanaburi"
"kv4p","Je Off  at T.5","Thai","4.5","(100+)","Kanchanaburi"
"f5kq","Thai D","Thai","3.9","(100+)","Kanchanaburi"
"vxo6","Chao Nar Bar (Sathanee Rodfai Road)","International","4.8","(59)","Kanchanaburi"
"hfg7","Yor Yum Yum","Thai","4.1","(89)","Kanchanaburi"
"qir0","Aroi Na Arhan Tamsang","Thai","4.4","(2)","Kanchanaburi"
"n6py","Nang Air","Thai","4.5","(1000+)","Kanchanaburi"
"s9vb","Verve Cafe","Thai","4.9","(36)","Kanchanaburi"
"tryx","Krystalight Jewelry MiniCafe (Clock Tower Kanchanaburi)","Beverages","3.3","(2)","Kanchanaburi"
"hrwl","Kai Whan Ban Sushi Kanchanaburi","Japanese","4.9","(500+)","Kanchanaburi"
"l9cv","Ban Noodle ( Boran Noodle )","Thai","4.7","(100+)","Kanchanaburi"
"r8vv","Cookie and Eclair","Asian","4.6","(100+)","Kanchanaburi"
"vduk","Duration","Beverages","4.4","(8)","Kanchanaburi"
"sd6s","TU KAB KAO KANCHANABURI","Thai","4.9","(100+)","Kanchanaburi"
"jig9","Mae Noi Arhan Tam Sang (Pee Ann)","Thai","4.7","(100+)","Kanchanaburi"
"s0wm","Coffee Time","Beverages","4.6","(100+)","Kanchanaburi"
"ti2n","BaanWaenPetch","Beverages","4.8","(100+)","Kanchanaburi"
"zgh9","Je Jum Somtum ( Talad Sod)","Thai","4.4","(54)","Kanchanaburi"
"p8ey","Pa Taew Ar Han Tam Sung","Thai","4.5","(500+)","Kanchanaburi"
"h8od","Tak San Japanese Food","Japanese","4.7","(500+)","Kanchanaburi"
"tjpi","Baan Nam Prik Ranjuan","Thai","4","(67)","Kanchanaburi"
"r8ow","Best Bake Taiwanese EggCake Kanchanaburi","Thai","5","(49)","Kanchanaburi"
"l9yx","Khao Tom Kuun Kery (Kanchanaburi)","Thai","4.5","(500+)","Kanchanaburi"
"h4lt","PaTui Ar Han Tam Sung","Thai","4.8","(1000+)","Kanchanaburi"
"h7fm","Lhan HA","Thai","4.7","(500+)","Kanchanaburi"
"i3tc","Beef Noodle Udon (Je win)","Thai","4.6","(100+)","Kanchanaburi"
"p3wr","Mae-Roh Sticky Rice","Thai","5","(44)","Kanchanaburi"
"gtfz","Pa Took Tamsung Trongkham Archeewa (Original)","Thai","4.8","(100+)","Kanchanaburi"
"i1uo","McDonald's (M Park Kanchanaburi)","American","4.7","(3000+)","Kanchanaburi"
"m3mm","Coffee Bags Boran and Hoytod Hot Pot","Thai","4.9","(100+)","Kanchanaburi"
"x1l3","Hill Coffee","Beverages","4.8","(42)","Kanchanaburi"
"hp6v","Home Arhantamsung","Thai","4.7","(54)","Kanchanaburi"
"m3nz","Tamsang 21 Tan","Thai","4.6","(500+)","Kanchanaburi"
"j9sw","Kua Tong Coffee","Beverages","5","(59)","Kanchanaburi"
"ejrq","Yun Tieng Kuen","Thai","4.7","(45)","Kanchanaburi"
"tupl","Ko Sak Kuay Tiao Ruea","Chinese","4.5","(100+)","Kanchanaburi"
"kj74","Je On Kuaolhao TomlueadMoo","Thai","4.7","(100+)","Kanchanaburi"
"jy5f","Tang Sum Rub","Thai","4.9","(58)","Kanchanaburi"
"n7cd","Thao Kae Tua Noi (Branch 2)","Thai","4.5","(100+)","Kanchanaburi"
"r6aj","SaBaiJit Restaurant","Thai","4.6","(500+)","Kanchanaburi"
"fmny","Lan Yag Gin Arai Gin Kao Kai Jiew","Thai","3.6","(42)","Kanchanaburi"
"ybjs","In Aim Arhantamsung (Branch 2)","Thai","4.8","(100+)","Kanchanaburi"
"xzfy","Tum Pak Ahh at Kan","Thai","4.5","(100+)","Kanchanaburi"
"j4pj","Jae Nid Northern Food","Thai","4.7","(3000+)","Kanchanaburi"
