"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City"
"c4jb","Doiluang Coffee","Beverages","4.9","(63)","Khon Kaen"
"u2ym","Inch and Ounce","Beverages","4.8","(100+)","Khon Kaen"
"u6fx","Leng Yentafo Nai Mueang (Glang Mueang Road)","Thai","4.6","(500+)","Khon Kaen"
"vgfm","Song Huad Kao Lao Zing Ji Tom Leuad Moo (Khon Kaen)","Thai","4.1","(26)","Khon Kaen"
"i6ja","Nam Cook Mae Yay (Jompol Market)","Thai","4.5","(100+)","Khon Kaen"
"amdp","Coffee 34","Beverages","5","(12)","Khon Kaen"
"q1j6","Don Kan Eang","Thai","4.5","(71)","Khon Kaen"
"yz2t","Kon Dee Coffee","Beverages","3.5","(8)","Khon Kaen"
"z9mr","Champ Kao Mun Kai Ton","Thai","4.6","(100+)","Khon Kaen"
"t2b9","Muek Yang Kaprao Zab Krua Nirin","Thai","4.5","(100+)","Khon Kaen"
"euki","Phonlamai Na Archeewa","Thai","4.8","(84)","Khon Kaen"
"ugxx","Ba Mee Gieaow Yok Jumbo","Thai","4.7","(100+)","Khon Kaen"
"nzhw","Nam Kratae Kafae Boran","Beverages","4.5","(7)","Khon Kaen"
"w4hi","Krua Duang Dee","Thai","4.7","(500+)","Khon Kaen"
"elmj","Nam Kheng Sai Koh Phai","Beverages","4.6","(48)","Khon Kaen"
"c5sb","Noodle77 Mueang Khon Kaen","Thai","4.5","(100+)","Khon Kaen"
"fa2y","Pizza Hut (Thai Preeda Park (Khon Kaen 3))","Italian","4.9","(74)","Khon Kaen"
"b3zl","Lom Khao Cafe and Restaurant","Thai","4.4","(72)","Khon Kaen"
"b5tc","Cha Long Ka Na Khon Kaen","Beverages","4.6","(100+)","Khon Kaen"
"pnfl","Starbucks (Preeda Park)","Beverages","5","(68)","Khon Kaen"
"ci6d","Ka Prao Do To Po (Ban Don)","Thai","4.8","(100+)","Khon Kaen"
"tcws","Chepo Ped Yang","Chinese","4.7","(100+)","Khon Kaen"
"h2ox","Gai Gao Branch Khonkaen","Korean","4.6","(86)","Khon Kaen"
"y4sk","Somtum Somwhang Samleam","Thai","4.1","(100+)","Khon Kaen"
"u2wm","Guai Tiew Ruea Ar Ko Wi","Thai","5","(50)","Khon Kaen"
"ikdy","Kaprao Wad Jai Chao Raek (Khon Kaen)","Thai","4.8","(100+)","Khon Kaen"
"cjxr","Salapao Choon Kee","Chinese","4.3","(7)","Khon Kaen"
"a7rz","Nam Wan","Beverages","4.8","(500+)","Khon Kaen"
"p3mj","Jok Ka Clean","Thai","4.9","(80)","Khon Kaen"
"q94s","Kanom Jeen Kook Kui","Thai","4.3","(25)","Khon Kaen"
"a7dm","Eat at Home","Thai","4.5","(100+)","Khon Kaen"
"x2pb","Ja Brown Lab Ped","Thai","4.6","(500+)","Khon Kaen"
"wsqa","Hello Morning Arhan Chao (Kangsadarn)","Thai","4.9","(90)","Khon Kaen"
"b3kk","Cafe Amazon (Sentosa-Maliwan)","Beverages","4.8","(3000+)","Khon Kaen"
"d3hf","Sunee Cook To Order","Thai","4.5","(1000+)","Khon Kaen"
"y82q","A Bang Hat Yai Fried Chicken (Soi Kangsadarn)","Thai","4.9","(100+)","Khon Kaen"
"khz5","Cafe Amazon (Khonkaen Prachasamosorn - 96037)","Thai","4.8","(500+)","Khon Kaen"
"o8zn","Steak Baan Teng","International","4.7","(100+)","Khon Kaen"
"dkb2","Hom Lamai Gafaisod","Beverages","4.9","(12)","Khon Kaen"
"u4mz","Jok Khun Am","Thai","4.6","(1000+)","Khon Kaen"
"gexe","Lan Ngoen Kam","Thai","4.8","(73)","Khon Kaen"
"sgvj","Kai Rod Thip Kangsadan","International","4.9","(500+)","Khon Kaen"
"bs00","Ama Klang Mueang","Thai","3.9","(5)","Khon Kaen"
"v6aw","Tuk Tuk Cafe","Thai","4.9","(100+)","Khon Kaen"
"u2kd","Pak Mor Pu-Pan","Vietnamese","4.6","(1000+)","Khon Kaen"
"l3ky","Chai Chuan Chim Ba-mee Yok","Thai","4.7","(500+)","Khon Kaen"
"mfqm","Shiba Hokkaido Milk Tea (Soi Rob Mueang 11 Khon Kaen)","Beverages","4.9","(32)","Khon Kaen"
"u3ij","Payong Jao Kao Braised Pork Leg (Kangsadarn Canteen)","Thai","4.7","(1000+)","Khon Kaen"
"v4z9","Tam Sang Pa Noi (Kangsadarn)","Thai","4.8","(49)","Khon Kaen"
"x4tr","My Naem Nueng","Vietnamese","4.7","(69)","Khon Kaen"
"m5qe","Krua Lang Baan (Khon Kaen)","Thai","2.1","(34)","Khon Kaen"
